// von http://www.wappswelt.de/world/recent/dict_f_d.html
"Fränkisch","Hochdeutsch"
"Achala","Eichhörnchen"
"aufbredsld","fein zurechtgemacht"
"an (Schiis) foan lassn","flatulieren"
"Barasoll","Regenschirm (selten auch Sonnenschirm – wetterbedingt)"
"Bfiffä","Pilz"
"Bflasdaschajssa fth","Einwohner Nürnbergs wörtlich: Straßenbelag-exkrementierer"
"Bharasoll","Regenschirm"
"Biggsnfuddä","Konserven"
"Blousoasch nbg","Einwohner von Fürth wörtlich: Nacktes Gesäßfleisch"
"Bodaggng","Kartoffel"
"Boddl","Flasche"
"Boggali fth","Wäscheklammern"
"Bolagg","polnischer Staatsangehöriger"
"Brajss","(ortsabhängig) nähere Informationen einholen!"
"Bräsdli fth","Walderdbeere"
"Brillnedwi","Brillenetui"
"Brundsghaddla","Ersatzmann beim Kartenspiel"
"brundsn","urinieren"
"bubbln","in der Nase bohren"
"Budselküh","Tannenzapfen"
"Bumbl","weibliches Reproduktionsorgan (als Spielkarte: Schelln-As) Bedeutungen unbedingt unterscheiden!"
"Daach","Teig"
"Debb, Debbmhaufm","Idiot, Vollidiot"
"Dooch","Tag"
"(ans) drädsn","(jemanden) ärgern"
"Dreegbambl","Schmutzfink, Umweltverschmutzer"
"Droddwaa","Gehsteig"
"dsammgschläggd","fein zurechtgemacht"
"Dsäbfla","Suppositorium"
"Dsiidsn","Tannenzapfen"
"Dsohdogda","Zahnarzt"
"Dsubfa","amerikanischer Staatsangehöriger"
"Dswädschga","Kleinkind"
"Dswädschgala","weibliches Reproduktionsorgan"
"Dswigga nbg","Wäscheklammern"
"Dulln","Kanaldeckel"
"Dullnraama","Kanalarbeiter"
"Fadsaläddla","Taschentuch"
"Fädd","Fürth"
"faj"," (attributive Ergäzung zur Verstärkung einer Aussage – nicht zu übersetzen)"
"fedsn","sich zügig fortbewegen"
"Gaggala","Ei (auch Mz.)"
"Gheagheel","Blumenkohl"
"Ghuddäla","Durch den Mund in der Regel geräuschvoll abgesondertes Gemisch aus Nasenschleimhautabsonderung und Speichel"
"Gilch","Nabel"
"Glees","Kloß"
"Gloo","Toilette"
"Gloos","Glas"
"Graffl, Gruusch","Krempel, Gerümpel"
"Grischbala","kleines, schmächtiges (in der Regel männliches) Wesen"
"Gschbässla","Scherz"
"Guudsala","Belohnung"
"Gwärch","Krawall oder auch
übermäßige Unordnung"
"Hädscha","Schluckauf"
"Hoos, Hoosn Mz.","Hase, Hasen Mz."
"Hoosngoogara","Hasenzüchter"
"Hummeln","Männliches Rind (scheinbar gebietsweise manchmal noch für Zuchtzwecke geeignet, normalerweise aber nicht)"
"Husn","Hose, Hosen Mz."
"Laggl","großes männliches Wesen"
"Lebäschrumbf","Alkoholabhängiger"
"Lebberi","schleimig-schmierige Substanz bspw. Tonrohmasse"
"Masda","werter Herr"
"Moo","Mann"
"Mufflsoggng","Griesgram"
"Najgschmäggda","Zugereister"
"Nämmbärch","Nürnberg"
"Oaschluuch","Rektalöffnung"
"Oaschluuch, grummbuads","Rektalöffnung (Steigerung von vorher; von der Verwendung der wörtlichen Übersetzung „krummgebohrtes Arschloch“ ist unbedingt abzuraten)"
"Odl","Jauche, Gülle"
"Rads, Radsn Mz.","Ratte, Ratten Mz."
"Robbän","Schubkarre"
"Rouwala nbg","Walderdbeere"
"Rummdsuuch","Nachtschwärmer"
"Ruuds","Sputum"
"Saggrads","Filzlaus"
"Sajdla","Bier, falls leer: Trinkgefäß"
"Sämmali fth","Brötchen"
"Sandla","Tippelbruder"
"Schbinådwachdl","ältere Dame"
"Schdhambala","Schnaps oder
Schnapsglas"
"Schdinghschdiefl","Griesgram"
"Schluchdnschajssa","Einwohner Österreichs respektvoll"
"Schnarchdsabfm","Flasche wörtlich: Schnarchzapfen"
"Schnärpfala","männliches Reproduktionsorgan"
"sich wos glaj seng","nach etwas aussehen, Eindruck machen"
"waafm","dauerhaftes Gespräch führen"
"Waffl","Mund"
"Waggala","Kleinkind"
"Wäggla nbg Wäggli fth","Brötchen, Schrippen"
"Wajb","Frau (unbedingt anzuwenden!)"
"Warme Naundschala un ghalde Druudschala","nicht näher zu identifizierendes Mahl oder: Auskunftsverweigerung bei Speiseplannachfragen"
"Wås willsdh? oder Wås mächasd?","Wie bitte?"
"weng","etwas, ein wenig"
"Woschd","Wurst"
